Language_ID,Parameter_ID,Value,Name,Family
aar,26A,Strongly suffixing,Ari,Afro-Asiatic
abi,26A,Strongly suffixing,Abipon,Guaicuruan
abk,26A,Equal prefixing and suffixing,Abkhaz,Northwest Caucasian
abn,26A,Strongly suffixing,Arabana,Pama-Nyungan
abu,26A,Little affixation,Yimbun,West Papuan
abv,26A,Equal prefixing and suffixing,Abui,Timor-Alor-Pantar
ace,26A,Little affixation,Achinese,Austronesian
acg,26A,Equal prefixing and suffixing,Achagua,Arawakan
acl,26A,Equal prefixing and suffixing,Acholi,Eastern Sudanic
aco,26A,Equal prefixing and suffixing,Keres (Western),Keresan
acu,26A,Strongly suffixing,Achuar,Jivaroan
adg,26A,Little affixation,Adang,Timor-Alor-Pantar
adi,26A,Weakly prefixing,Adyukru,Niger-Congo
adn,26A,Strongly suffixing,Adynyamathanha,Pama-Nyungan
aeg,26A,Weakly suffixing,Egyptian Colloquial Arabic,Afro-Asiatic
aga,26A,Weakly suffixing,Gadsup,Trans-New Guinea
agc,26A,Strongly suffixing,Agta,Austronesian
agm,26A,Little affixation,Angami,Sino-Tibetan
agt,26A,Strongly suffixing,Awngthim,Pama-Nyungan
akh,26A,Little affixation,Akha,Sino-Tibetan
akn,26A,Strong prefixing,Akan,Niger-Congo
ala,26A,Strongly suffixing,Alamblak,Sepik
alb,26A,Strongly suffixing,Albanian,Indo-European
ale,26A,Strongly suffixing,"Aleut, Eastern",Eskimo-Aleut
all,26A,Equal prefixing and suffixing,Nara,Austronesian
aln,26A,Equal prefixing and suffixing,Alune,Austronesian
alw,26A,Strongly suffixing,Alawa,Mangarrayi-Maran
aly,26A,Strongly suffixing,Alyawarra,Pama-Nyungan
amc,26A,Strongly suffixing,Amahuaca,Panoan
ame,26A,Strongly suffixing,Amele,Trans-New Guinea
amh,26A,Weakly suffixing,Amharic,Afro-Asiatic
aml,26A,Little affixation,Aoban (Northeast),Austronesian
amn,26A,Strongly suffixing,Amanab,Border
amo,26A,Weakly prefixing,Amo,Niger-Congo
amp,26A,Strongly suffixing,Mparntwe Arrernte,Pama-Nyungan
